trade_id,ticker,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,strategy
TCS_0085,TCS,2025-08-12T13:00:00+05:30,2025-08-14T15:15:00+05:30,LONG,3054.1,3022.5,10,-466.0,phase4_full_backtest
INFY_0086,INFY,2025-08-13T09:30:00+05:30,2025-08-14T15:15:00+05:30,LONG,1425.0,1448.0,10,80.0,phase4_full_backtest
NIFTY_0086,NIFTY,2025-08-13T10:15:00+05:30,2025-08-14T15:15:00+05:30,LONG,24592.0,24616.05,10,90.5,phase4_full_backtest
BANKNIFTY_0086,BANKNIFTY,2025-08-13T12:15:00+05:30,2025-08-14T15:15:00+05:30,LONG,55141.5,55318.05,10,1615.5,phase4_full_backtest
RELIANCE_0086,RELIANCE,2025-08-13T12:15:00+05:30,2025-08-14T15:15:00+05:30,LONG,1382.7,1372.9,10,-248.0,phase4_full_backtest
TCS_0086,TCS,2025-08-13T12:45:00+05:30,2025-08-14T15:15:00+05:30,SHORT,3040.1,3022.5,10,26.0,phase4_full_backtest
NIFTY_0087,NIFTY,2025-08-14T09:15:00+05:30,2025-08-14T15:15:00+05:30,LONG,24634.55,24616.05,10,-335.0,phase4_full_backtest
BANKNIFTY_0087,BANKNIFTY,2025-08-14T09:45:00+05:30,2025-08-14T15:15:00+05:30,SHORT,55341.8,55318.05,10,87.5,phase4_full_backtest
TCS_0087,TCS,2025-08-14T12:45:00+05:30,2025-08-14T15:15:00+05:30,LONG,3030.0,3022.5,10,-225.0,phase4_full_backtest
INFY_0087,INFY,2025-08-14T13:15:00+05:30,2025-08-14T15:15:00+05:30,LONG,1449.1,1448.0,10,-161.0,phase4_full_backtest
RELIANCE_0087,RELIANCE,2025-08-14T14:00:00+05:30,2025-08-14T15:15:00+05:30,SHORT,1374.4,1372.9,10,-135.0,phase4_full_backtest
BANKNIFTY_0088,BANKNIFTY,2025-08-18T09:45:00+05:30,2025-08-21T09:45:00+05:30,SHORT,56096.55,55854.6,10,2269.5,phase4_full_backtest
TCS_0088,TCS,2025-08-18T10:15:00+05:30,2025-08-21T10:15:00+05:30,SHORT,3019.6,3101.5,10,-969.0,phase4_full_backtest
INFY_0088,INFY,2025-08-18T12:30:00+05:30,2025-08-21T12:30:00+05:30,LONG,1431.7,1501.7,10,550.0,phase4_full_backtest
NIFTY_0088,NIFTY,2025-08-18T12:30:00+05:30,2025-08-21T12:30:00+05:30,LONG,24905.35,25122.55,10,2022.0,phase4_full_backtest
RELIANCE_0088,RELIANCE,2025-08-18T13:45:00+05:30,2025-08-21T13:45:00+05:30,LONG,1384.3,1429.7,10,304.0,phase4_full_backtest
NIFTY_0089,NIFTY,2025-08-19T11:00:00+05:30,2025-08-22T11:00:00+05:30,LONG,24935.25,24909.05,10,-412.0,phase4_full_backtest
RELIANCE_0089,RELIANCE,2025-08-19T11:45:00+05:30,2025-08-22T11:45:00+05:30,SHORT,1411.6,1415.6,10,-190.0,phase4_full_backtest
TCS_0089,TCS,2025-08-19T12:00:00+05:30,2025-08-21T13:45:00+05:30,LONG,3020.9,3113.0,10,771.0,phase4_full_backtest
BANKNIFTY_0089,BANKNIFTY,2025-08-19T12:15:00+05:30,2025-08-22T12:15:00+05:30,SHORT,55921.15,55320.1,10,5860.5,phase4_full_backtest
INFY_0089,INFY,2025-08-19T12:15:00+05:30,2025-08-22T12:15:00+05:30,SHORT,1444.9,1495.8,10,-659.0,phase4_full_backtest
